Job title,Salary,Job description,Requirements,URL,Company
Англи хэлний багш /Саппоро салбар/,"2,100,000-2,500,000 ₮","Хуваарийн дагуу хичээл орохСуралцагчдын тайлан бичихСургалтын хөтөлбөр шинэчлэх, сайжруулахШинэ хөтөлбөр багаар боловсруулах","Англи хэлний чиглэлээр их дээд сургууль төгссөн эсвэл ОУ-ын шалгалтын оноотой бол давуу тал болноГадаад, Монгол баг хамт олноор ажиллах чадвартайХичээлийг үр өгөөжтэй болгох тал дээр шинэ санаа санаачлагатай",https://www.zangia.mn/job/_hp-rlx-unt,Күнз дунд сургууль
ГРАФИК ДИЗАЙНЕР /АПЕКС КАПИТАЛ ҮЦК/,"2,500,000 - 3,000,000 ₮ | Тохиролцоно","Компанийн маркетингийн идэвхжүүлэлт, брэндингийн хүрээнд хийгдэх, сошиал контент болон бусад дизайнтай холбоотой ажлуудыг бүтээлчээр хийж гүйцэтгэх;Компанийн маркетинг, брэнд хөгжүүлэлттэй холбоотой дизайны ажлуудыг хэрэглэгчид үр дүнтэй байдлаар хүргэх, сүүлийн үеийн маркетинг дизайны талаар судалж, компанид нийцүүлэн хэрэгжүүлэх, сайжруулалт хийх санал санаачилгыг гарган ажиллах;Компанийн шинэ бүтээгдэхүүн, үйлчилгээ гаргах, идэвхжүүлэх, арга хэмжээ зохион байгуулах болон бусад компанит ажилтай холбоотой сошиал дээрх контент болон хэвлэмэл материалын /брошюр, катологи, тараах материал, анонс/ эх бэлтгэл, дизайныг бүтээх, санаачлах;","Мэргэжлийн ур чадварГрафик дизайны чиглэлээр төгссөнPs, AI, Figma зэрэг мэргэжлийн программууд дээр мэргэжлийн түвшинд ажилладагҮсгийн фонт, бичвэрийн хэрэглээний талаар мэдлэгтэйГрафик дизайнерын чиглэлээр ажилласан туршлагатайЗөөлөн ур чадварБүтээлч сэтгэлгээтэй, шинийг санаачилдагДизайн, өнгө төрх бүтээх уран сэтгэмжтэйӨөрийн санааг ойлгуулах харилцааны ур чадвартайЦэгцтэйЛогик сэтгэлгээтэйСуралцах чадвар өндөрЗан төлөв, хандлагаЭерэг хандлагатайӨсөн дэвших сэтгэлгээтэйЁс зүйтэйӨөдрөг",https://www.zangia.mn/job/_3lbk2u30sv,Апекс капитал ҮЦК ХХК
ГРАФИК ДИЗАЙНЕР,"3,000,000 - 4,000,000 ₮ | Тохиролцоно","Урамшуулал, идэвхжүүлэлтийн хэвлэмэл сурталчилгааны загвар дизайн гаргах ажлуудыг хариуцан ажиллах;Бүтээлч дизайны ажил гүйцэтгэхШинээр гаргах бүтээгдэхүүн үйлчилгээ болон урамшууллын лого, бичиглэл, дизайн гаргахШинэ талент, шилдэг контентын талаар судлахАрга хэмжээ болон бусад үйл ажиллагааны декор зураг гаргах","График дизайн, хэвлэлийн эх бэлтгэл, компьютер график, дүрслэх урлаг болон дизайны чиглэлээр мэргэшсэн бакалавр зэрэгтэйДизайны болон мэргэжлийн програмуудыг ахисан түвшинд эзэмшсэн байх, Бүтээлч сэтгэлгээтэй, багаар хамтран ажиллах чадвартай, шинэлэг санаа гаргах танилцуулах ур чадвартай байхАнгли хэлний ярианы болон бичгийн pre intermediate түвшний мэдлэгтэй байх, Мэргэжлийн ном сэтгүүл уншиж ажилдаа ашиглах чадвартай байх,Мэргэжлээрээ 2-с дээш жил ажилласан бол давуу тал болно.",https://www.zangia.mn/job/_bitq1a70jm,"""БИ ТҮ БИ НОМАДИК"" ХХК"
Тооцооны нягтлан бодогч,"2,500,000-3,000,000 ₮","Нягтлан бодох бүртгэлийн анхан шатны баримтад үндэслэн борлуулалтын болон бусад гүйлгээ,  зардал бүртгэхБараа материал бүртгэх, хяналт тавих.Санхүү бүртгэлийн албанд хамаарах бусад ажил гүйлгээг хийх,","Нягтлан бодох бүртгэлийн бакалавр болон түүнээс дээш зэрэгтэй төгссөнНягтлан бодогчоор 2-с дээш жил ажилласан туршлагатайНягт нямбай, хурдтайХУД, 11-р хороо Зайсанд байрлах оффист ирж ажиллах боломжтой байх.Хол Гэртэй бол анкет явуулах хэрэггүйЯг ажил хайж байгаа бол анкетаа явуулна уу ! Утас нь нээлттэй байхАжлын дугаар барих боломжтой байх",https://www.zangia.mn/job/_50r+x9dey2,Киндервелт Монголиа ХХК
"Нягтлан, Тооцооны нягтлан бодогч ажилд авна.","2,100,000-2,500,000 ₮","- Компанийн нягтлан бодох бүртгэлийн өдөр тутмын үйл ажиллагааг зохион байгуулах-Удирдлагыг санхүүгийн мэдээллээр тогтмол хангах-Татвар, НДШ тайлан гаргаж , тайлагнах-Харилцагчидтай тооцоо нийлж баталгаажуулах","Тайлан бланс гаргах чадвартайСанхүүгийн программууд дээр ажиллах чадвартайНягтлан бодох мэргэжлээр бакалавр болон түүнээс дээш зэрэгтэй,Мэргэжлээрээ ажиллаж байсан туршлагатай.Хариуцлагатай,Нямбай, хурдтай, шаардлага тавих чадвартайТогтвор суурьшилтай ажиллах.",https://www.zangia.mn/job/_z6jmfqk-fp,Баяндэмбэрэл ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан,"2,100,000-2,500,000 ₮","Харилцагчийн холбогдох бичиг баримтыг бүрдүүлэлт хийх, зээлийн үйлчилгээг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Их дээд сургууль төгссөнХэрэглээний программууд дээр ажиллах чадвартайӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_thtcflj6-u,Сайн Моторс ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан (Дархан салбар),"1,800,000-2,100,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_g2pa+bnr2z,Сайн Моторс ХХК
"Худалдан авалт хариуцсан менежер / эмч, эм зүйч/","2,100,000 - 2,500,000 ₮","Эм ханган нийлүүлэлт, хадгалалт, тээвэрлэлтийн үйл ажиллагааг зохион байгуулахЭм, эмнэлгийн хэрэгслийн захиалга, хүлээлгэн өгөх, хүлээн авах үйл явцыг хянахЭм ханган нийлүүлэгчидтэй харилцах, гэрээ, нөхцлүүдийг хэлэлцэхЭм, эмнэлгийн хэрэгслийн нөөцийн удирдлагыг хийхЭм зүйчийн мэргэжлийн мэдлэгийг ашиглан бүтээгдэхүүний чанар, аюулгүй байдлыг хангахЭм ханган нийлүүлэлттэй холбоотой бичиг баримт, тайланг бэлтгэхАжлын байрны стандарт, журмыг мөрдөх, шинэ журам боловсруулахад оролцохБагийн гишүүдтэй хамтран ажиллах, сургалт явуулах","Эм зүйчийн мэргэжилтэй байхХангамжийн менежментийн чиглэлээр 2-3 жилийн туршлагаЭм, эмнэлгийн хэрэгслийн зах зээл, ханган нийлүүлэлтийн талаар мэдлэгтэй байхМэдээлэл боловсруулах, анализ хийх чадвартай байхХарилцааны өндөр ур чадвар, багаар ажиллах чадвартай байхКомпьютер, MS Office программтай ажиллах чадвартай байхАжлын тайлан, бичиг баримт боловсруулах чадвартай байх",https://www.zangia.mn/job/_h1t5foah94,СИТИФАРМ МЭИК
НЯГТЛАН БОДОГЧ / ГАДААД ХУДАЛДАА /,"2,100,000-2,500,000 ₮","Компанийн болон Нягтлан бодох бүртгэлийн тухай хууль% НББОУС-н бусад  холбогдох хууль, дүрэм журмыг баримтлан ажилланаСанхүү, татварын тайланг үнэн зөв, цаг хугацаанд тайлагнахУдирдлагуудад дотоод мэдээ тайланг тайлагнахКомпанийн санхүүгийн үйл ажиллагаанд бүртгэлийн хяналт тавихХарилцагч нарын авлага, өглөгийг барагдуулах, бараа материалын тооллого тооцоо хийх,Ажлын байрны тодорхойлолтонд заасан ажил үүргийг гүйцэтгэнэ","Санхүү, нягтлан бодох бүртгэлээр баклавр болон түүнээс дээш зэрэгтэй.Санхүүгийн Diamond программыг дундаас дээш түвшинд бүрэн эзэмшсэнКопьютерийн хэрэглээний программ дээр ажиллах чадвартайМэргэжлээрээ 3-аас доошгүй жил ажилласан.Бие даан болон багаар ажиллах чадвартай.Оновчтой шийдвэр гаргах чадвартай.Мэргэжлийн ёс зүйг чанд сахих чадвартай.Тогтвор суурьшилтай ажиллах эрмэлзэлтэй.",https://www.zangia.mn/job/_441qywvgt9,Жигүүр Гранд Групп
Салбар хариуцсан менежер,"2,500,000 - 3,000,000 ₮","Салбарыг удирдан, хөгжүүлэхБорлуулалтын стратеги, төлөвлөгөөг боловсруулахБорлуулалтын багийн гишүүдийг удирдах, сургахБорлуулалтын үзүүлэлтийг хянах, дүн шинжилгээ хийхСалбарын үйл ажиллагааг идэвхжүүлэх, оновчтой болгох","Бакалаврын зэрэгтэй байхСалбарын чиглэлээр ажиллаж байсан туршлагаБагийн удирдлагын чадвартай байхСудалгаа, шинжилгээ хийх чадвартайБорлуулалтын стратеги боловсруулах, хэрэгжүүлэх чадвартайХарилцааны өндөр ур чадвартай",https://www.zangia.mn/job/_i4okn93atl,СИТИФАРМ МЭИК
